Date,Open,High,Low,Close,Volume
11/29/2023,"151.52","153.46","151.45","152.29","2,981,656"
11/28/2023,"149.70","151.08","148.98","150.74","3,074,002"
11/27/2023,"151.04","151.44","149.57","149.59","3,320,030"
11/24/2023,"151.17","152.04","150.75","152.03","1,644,358"
11/22/2023,"150.96","151.24","149.94","150.75","2,640,250"
11/21/2023,"149.50","150.11","148.50","149.77","3,080,839"
11/20/2023,"147.85","150.28","146.87","149.57","4,733,465"
11/17/2023,"147.68","148.05","146.20","147.98","3,320,750"
11/16/2023,"147.27","148.20","145.64","146.91","3,729,290"
11/15/2023,"144.00","147.90","143.95","147.17","4,766,672"
11/14/2023,"140.04","143.77","139.91","143.17","4,258,832"
11/13/2023,"137.67","138.55","137.01","138.17","3,211,537"
11/10/2023,"138.71","138.82","136.52","138.11","5,684,583"
11/09/2023,"142.94","142.94","139.87","139.95","3,411,097"
11/08/2023,"142.13","143.42","141.46","141.95","2,896,590"
11/07/2023,"141.48","142.10","140.60","141.85","2,952,623"
11/06/2023,"143.22","143.49","141.29","142.27","2,931,436"
11/03/2023,"143.23","144.81","142.81","142.86","3,272,215"
11/02/2023,"141.90","143.38","141.72","141.99","3,904,584"
11/01/2023,"141.38","142.14","138.05","139.80","3,566,835"
10/31/2023,"138.62","141.32","138.22","141.25","3,996,879"
10/30/2023,"135.91","139.23","134.31","138.78","5,662,402"
10/27/2023,"138.43","139.79","133.68","134.83","6,594,553"
10/26/2023,"142.50","146.29","137.93","138.21","10,581,410"
10/25/2023,"148.74","148.90","146.01","146.93","3,565,833"
10/24/2023,"148.74","150.21","148.34","149.32","2,802,329"
10/23/2023,"151.25","151.58","147.89","148.16","4,552,659"
10/20/2023,"152.34","153.34","151.94","151.96","5,022,493"
10/19/2023,"154.47","155.14","151.78","152.06","3,035,195"
10/18/2023,"155.50","155.79","153.64","153.82","2,974,728"
10/17/2023,"155.19","157.66","155.02","157.18","2,936,990"
10/16/2023,"156.74","158.49","156.12","156.65","3,349,697"
10/13/2023,"156.12","157.37","154.58","155.08","2,759,887"
10/12/2023,"155.50","155.55","153.56","155.38","2,340,494"
10/11/2023,"155.78","156.24","153.47","155.30","2,209,802"
10/10/2023,"154.51","156.45","154.28","155.55","2,083,532"
10/09/2023,"153.45","154.80","152.54","154.34","1,766,017"
10/06/2023,"152.88","155.15","152.30","154.27","2,383,609"
10/05/2023,"153.04","153.98","152.60","153.38","2,922,292"
10/04/2023,"154.40","155.38","152.45","153.72","2,600,620"
10/03/2023,"154.27","156.36","153.02","153.75","3,687,671"
10/02/2023,"155.15","155.42","153.64","155.08","3,243,692"
09/29/2023,"156.50","157.33","155.06","155.87","5,034,589"
